dataset,scene,split,consistency_improved,full_image_improved_metrics,full_image_worsened_metrics,reflective_improved_metrics,reflective_worsened_metrics,all_improved_metrics,all_worsened_metrics,tradeoff_patterns
shiny_blender_synthetic,toaster,test,True,,full_lpips;full_psnr;full_ssim,reflective_ssim,reflective_lpips;reflective_psnr;reflective_region_psnr,mean_reflection_consistency;reflective_ssim,reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_lpips,consistency_improves_render_quality_tradeoff;reflective_metric_improves_full_image_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,angel,train,True,full_lpips;full_ssim,full_psnr,reflective_region_psnr;reflective_ssim,reflective_lpips;reflective_psnr,mean_reflection_consistency;reflective_region_psnr;full_ssim;full_lpips;reflective_ssim,full_psnr;reflective_psnr;reflective_lpips,consistency_improves_render_quality_tradeoff;reflective_metric_improves_full_image_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,angel,test,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr,reflective_ssim,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_lpips,reflective_ssim,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,bell,train,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_ssim,reflective_region_psnr,mean_reflection_consistency;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,reflective_region_psnr,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,bell,test,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,,
glossy_synthetic,cat,train,True,full_lpips;full_psnr;full_ssim,,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,mean_reflection_consistency;full_psnr;full_ssim;full_lpips,reflective_region_psnr;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,cat,test,True,,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,mean_reflection_consistency,reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,horse,train,True,full_lpips;full_psnr;full_ssim,,reflective_psnr;reflective_region_psnr;reflective_ssim,reflective_lpips,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim,reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,horse,test,True,full_lpips;full_psnr;full_ssim,,reflective_psnr;reflective_region_psnr,reflective_lpips;reflective_ssim,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr,reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,luyu,train,True,,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,mean_reflection_consistency,reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,luyu,test,True,full_ssim,full_lpips;full_psnr,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,mean_reflection_consistency;full_ssim,reflective_region_psnr;full_psnr;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,potion,train,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,,
glossy_synthetic,potion,test,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,,
glossy_synthetic,tbell,train,True,full_lpips;full_psnr;full_ssim,,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,mean_reflection_consistency;full_psnr;full_ssim;full_lpips,reflective_region_psnr;reflective_psnr;reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,tbell,test,True,full_lpips;full_psnr;full_ssim,,reflective_psnr;reflective_region_psnr,reflective_lpips;reflective_ssim,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr,reflective_ssim;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,teapot,train,True,full_lpips;full_psnr;full_ssim,,reflective_ssim,reflective_lpips;reflective_psnr;reflective_region_psnr,mean_reflection_consistency;full_psnr;full_ssim;full_lpips;reflective_ssim,reflective_region_psnr;reflective_psnr;reflective_lpips,consistency_improves_render_quality_tradeoff;rc_worsens_at_least_one_metric
glossy_synthetic,teapot,test,True,full_lpips;full_psnr;full_ssim,,reflective_lpips;reflective_psnr;reflective_region_psnr;reflective_ssim,,mean_reflection_consistency;reflective_region_psnr;full_psnr;full_ssim;full_lpips;reflective_psnr;reflective_ssim;reflective_lpips,,
