dataset,scene,variant,seed,job_root,complete,has_point_cloud,has_reflection_consistency_train_json,has_reflection_consistency_test_json,has_launcher_summary_json,missing_artifacts
glossy_synthetic,angel,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/base/seed_0,True,True,True,True,True,
glossy_synthetic,angel,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/angel/rc/seed_0,True,True,True,True,True,
glossy_synthetic,bell,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/base/seed_0,True,True,True,True,True,
glossy_synthetic,bell,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/bell/rc/seed_0,True,True,True,True,True,
glossy_synthetic,cat,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/base/seed_0,True,True,True,True,True,
glossy_synthetic,cat,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/cat/rc/seed_0,True,True,True,True,True,
glossy_synthetic,horse,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/base/seed_0,True,True,True,True,True,
glossy_synthetic,horse,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/horse/rc/seed_0,True,True,True,True,True,
glossy_synthetic,luyu,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/base/seed_0,True,True,True,True,True,
glossy_synthetic,luyu,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/luyu/rc/seed_0,True,True,True,True,True,
glossy_synthetic,potion,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/base/seed_0,True,True,True,True,True,
glossy_synthetic,potion,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/potion/rc/seed_0,True,True,True,True,True,
glossy_synthetic,tbell,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/base/seed_0,True,True,True,True,True,
glossy_synthetic,tbell,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/tbell/rc/seed_0,True,True,True,True,True,
glossy_synthetic,teapot,base,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/base/seed_0,True,True,True,True,True,
glossy_synthetic,teapot,rc,0,/tmp/rc_refgs_full_dataset_base_rc_i31000_20260527/glossy_synthetic/teapot/rc/seed_0,True,True,True,True,True,
